date,signalScore,economicRegime,emaeYoY
2023-01-31,45,Contraction,1.2
2023-02-28,48,Contraction,1.5
2023-03-31,52,Transition,1.8
2023-04-30,58,Transition,2.1
2023-05-31,65,Expansion,2.3
2023-06-30,70,Expansion,2.5
2023-07-31,68,Expansion,2.4
2023-08-31,62,Transition,2.2
2023-09-30,55,Contraction,1.9
2023-10-31,50,Contraction,1.7
2023-11-30,48,Contraction,1.6
2023-12-31,42,Contraction,1.4
2024-01-31,40,Contraction,1.3
2024-02-29,43,Contraction,1.4
2024-03-31,47,Transition,1.6
2024-04-30,53,Transition,1.8
2024-05-31,60,Expansion,2.0
2024-06-30,68,Expansion,2.2
2024-07-31,72,Expansion,2.4
2024-08-31,75,Expansion,2.5
2024-09-30,73,Expansion,2.4
2024-10-31,70,Expansion,2.3
2024-11-30,65,Expansion,2.1
2024-12-31,60,Expansion,2.0